part_num,manufacturer,TNVED,concat_str,path_ds,id_path
SL1-003-S116/01-55,E-TEC,8536693000,SL1-003-S116/01-55 E-TEC,M:\DataSheet\3d173aaa-fd2b-11ec-96e4-f8bc12505841.pdf,3d173aaa-fd2b-11ec-96e4-f8bc12505841
RS103M100R800E50,CAPXON,8532220000,RS103M100R800E50 CAPXON,M:\DataSheet\26884801-046c-11ee-96f1-f8bc12505841.pdf,26884801-046c-11ee-96f1-f8bc12505841
IRFBG30PBF,VISHAY,8541290000,IRFBG30PBF VISHAY,M:\DataSheet\2389dc1a-08e7-11ed-96e4-f8bc12505841.pdf,2389dc1a-08e7-11ed-96e4-f8bc12505841
AD9954YSVZ-REEL7,ANALOG DEVICES,8542399010,AD9954YSVZ-REEL7 ANALOG DEVICES,M:\DataSheet\52652f90-6fbe-11ed-96ea-f8bc12505841.pdf,52652f90-6fbe-11ed-96ea-f8bc12505841
HMC441LC3BTR,ANALOG DEVICES,8542339000,HMC441LC3BTR ANALOG DEVICES,M:\DataSheet\0a5e01d5-110d-11ee-96f2-f8bc12505841.pdf,0a5e01d5-110d-11ee-96f2-f8bc12505841
LT4275AIDD#PBF,ANALOG DEVICES,8542399010,LT4275AIDD#PBF ANALOG DEVICES,M:\DataSheet\a62f4a82-1ff0-11ee-96f2-f8bc12505841.pdf,a62f4a82-1ff0-11ee-96f2-f8bc12505841
PTA09N90A-220F,PIP SEMI,8541290000,PTA09N90A-220F PIP SEMI,M:\DataSheet\40cd0870-f3fb-11ed-96f1-f8bc12505841.pdf,40cd0870-f3fb-11ed-96f1-f8bc12505841
BL1-016-G410-95/11,E-TEC,8536693000,BL1-016-G410-95/11 E-TEC,M:\DataSheet\4e4bcef7-f830-11ec-96e4-f8bc12505841.pdf,4e4bcef7-f830-11ec-96e4-f8bc12505841
901-9891-RFX,AMPHENOL RF,8536691000,901-9891-RFX AMPHENOL RF,M:\DataSheet\39c7513c-0aba-11ee-96f2-f8bc12505841.pdf,39c7513c-0aba-11ee-96f2-f8bc12505841
SCD-4,"SARTEC PHOTOELECTRONICS (HUBEI) CO., LTD",other,"SCD-4 SARTEC PHOTOELECTRONICS (HUBEI) CO., LTD",M:\DataSheet\e491adc4-050e-11ee-96f1-f8bc12505841.pdf,e491adc4-050e-11ee-96f1-f8bc12505841
DF40HC(4.0)-50DS-0.4V(51),HIROSECONNECTOR,8536693000,DF40HC(4.0)-50DS-0.4V(51) HIROSECONNECTOR,M:\DataSheet\2e6613d4-1403-11ee-96f2-f8bc12505841.pdf,2e6613d4-1403-11ee-96f2-f8bc12505841
DF40C(2.0)-20DS-0.4V(51),HIROSECONNECTOR,8536693000,DF40C(2.0)-20DS-0.4V(51) HIROSECONNECTOR,M:\DataSheet\9fa607bc-13fb-11ee-96f2-f8bc12505841.pdf,9fa607bc-13fb-11ee-96f2-f8bc12505841
RYG12832K,"ROYAL DISPLAY CO.,LIMITED",8531204000,"RYG12832K ROYAL DISPLAY CO.,LIMITED",M:\DataSheet\58dc57d0-e333-11ec-96e1-f8bc12505841.pdf,58dc57d0-e333-11ec-96e1-f8bc12505841
PCB IPEX,RAYNOOL,8536691000,PCB IPEX RAYNOOL,M:\DataSheet\376e785f-0397-11ee-96f1-f8bc12505841.pdf,376e785f-0397-11ee-96f1-f8bc12505841
